title	T3s	C3s	A3s	G3s	CAI	CBI	Fop	Nc	GC3s	GC	L_sym	L_aa	Gravy	Aromo
Psal_001119	0.3177	0.4448	0.2638	0.2374	0.248	0.091	0.474	58.27	0.541	0.504	342	362	-0.3	0.160221
Psal_001121	0.2559	0.3548	0.2965	0.2795	0.178	-0.019	0.397	56.37	0.529	0.549	554	567	-0.631922	0.042328
Psal_001122	0.265	0.2934	0.2715	0.3663	0.188	-0.006	0.402	55.18	0.542	0.54	356	380	-0.228158	0.102632
Psal_001123	0.308	0.4107	0.2667	0.195	0.237	0.118	0.478	50	0.504	0.573	276	284	-0.490141	0.038732
Psal_001124	0.3003	0.4075	0.247	0.2932	0.22	0.081	0.46	56.32	0.556	0.511	435	450	-0.362889	0.1
Psal_001125	0.2459	0.3934	0.2806	0.3263	0.236	0.086	0.47	61	0.573	0.556	234	236	-0.711441	0.059322
Psal_001126	0.3492	0.3867	0.2462	0.2245	0.248	0.09	0.469	54.04	0.499	0.522	941	967	-0.073423	0.054809
Psal_001127	0.3228	0.3618	0.2441	0.2784	0.22	0.055	0.451	58.93	0.522	0.504	603	613	-0.093148	0.104405
Psal_001128	0.3368	0.3579	0.2673	0.2514	0.208	0.088	0.467	57.45	0.495	0.486	531	541	-0.133457	0.112754
Psal_001129	0.3116	0.4233	0.2559	0.2927	0.261	0.08	0.482	54.06	0.555	0.51	272	279	-1.198208	0.103943
Psal_001130	0.2942	0.4115	0.3052	0.2288	0.238	0.07	0.473	55.21	0.515	0.538	596	605	-0.907769	0.039669
Psal_001131	0.3345	0.3447	0.2548	0.2996	0.207	-0.015	0.407	58.94	0.51	0.484	337	347	-0.126801	0.07781
Psal_001132	0.3417	0.3197	0.3149	0.2716	0.216	0.037	0.451	56.19	0.471	0.517	410	419	-1.296659	0.038186
Psal_001133	0.329	0.3484	0.2612	0.2655	0.226	0.041	0.44	55.8	0.504	0.509	359	369	-0.213008	0.04878
Psal_001134	0.3328	0.3296	0.292	0.2517	0.221	0.045	0.439	57.98	0.475	0.512	754	775	-0.152	0.063226
Psal_001135	0.338	0.3723	0.2757	0.2801	0.209	0.007	0.416	57.01	0.507	0.483	766	793	-0.237075	0.092055
Psal_001136	0.3172	0.4139	0.2482	0.232	0.264	0.138	0.509	57.58	0.53	0.53	542	555	-0.48018	0.088288
Psal_001137	0.2759	0.3596	0.3154	0.24	0.191	0.026	0.427	57.39	0.501	0.534	471	492	-0.311789	0.073171
Psal_001138	0.2927	0.4145	0.2609	0.2888	0.234	0.046	0.448	52.88	0.552	0.508	679	694	-0.185735	0.095101
Psal_001139	0.2925	0.351	0.3029	0.2741	0.206	0.018	0.436	56.38	0.507	0.521	422	439	-0.434169	0.08656
Psal_001140	0.2632	0.3912	0.2644	0.2713	0.194	0.066	0.443	57.06	0.554	0.542	655	665	-0.466917	0.057143
Psal_001141	0.3231	0.4497	0.1559	0.3126	0.253	0.15	0.502	50.62	0.603	0.513	1699	1780	-0.066517	0.135393
Psal_001142	0.3462	0.3485	0.2924	0.2408	0.204	0.017	0.421	55.68	0.476	0.497	1045	1076	-0.342565	0.069703
Psal_001143	0.2827	0.4346	0.2586	0.3929	0.264	0.022	0.457	56.27	0.599	0.511	337	344	-1.152326	0.075581
Psal_001144	0.3436	0.3252	0.1879	0.3209	0.184	-0.006	0.4	56.34	0.533	0.511	180	188	0.417021	0.111702
Psal_001145	0.3108	0.3908	0.275	0.2276	0.187	-0.053	0.371	55.01	0.507	0.481	361	382	0.695811	0.128272
Psal_001146	0.3053	0.3149	0.2548	0.3565	0.191	0.014	0.422	60.68	0.536	0.519	474	498	-0.214859	0.096386
Psal_001147	0.2889	0.4356	0.2217	0.2704	0.25	0.109	0.487	51.77	0.57	0.526	265	270	0.192222	0.062963
Psal_001148	0.3423	0.2876	0.3068	0.2473	0.184	0	0.412	59.82	0.448	0.534	1239	1265	-0.820079	0.025296
Psal_001149	0.3214	0.2857	0.4206	0.2476	0.184	-0.058	0.388	59.26	0.417	0.505	139	142	-1.673944	0.049296
Psal_001150	0.3289	0.374	0.2669	0.2331	0.207	0.059	0.447	57.34	0.502	0.522	432	448	-0.149107	0.089286
Psal_001151	0.3486	0.3086	0.3386	0.3056	0.22	-0.014	0.415	61	0.466	0.482	234	240	-0.810833	0.058333
Psal_001152	0.2752	0.3154	0.3072	0.2789	0.19	0.051	0.438	61	0.5	0.544	176	182	-0.76978	0.06044
Psal_001153	0.3086	0.3294	0.3029	0.2772	0.192	0.011	0.413	61	0.491	0.517	387	413	-0.387409	0.101695
Psal_001154	0.3204	0.3689	0.3051	0.2047	0.203	-0.023	0.408	54.43	0.477	0.505	348	356	-0.142978	0.092697
Psal_001155	0.2987	0.3691	0.3171	0.2453	0.223	0.038	0.434	58.36	0.493	0.495	355	362	-0.075138	0.08011
Psal_001156	0.2749	0.4327	0.2437	0.2703	0.24	0.122	0.48	53.18	0.57	0.54	200	211	-0.194313	0.085308
Psal_001157	0.3388	0.3941	0.2772	0.251	0.23	0.028	0.442	55.18	0.506	0.504	360	369	-0.439566	0.067751
Psal_001158	0.3469	0.3108	0.3062	0.2416	0.173	-0.037	0.383	58.37	0.452	0.502	739	769	-0.177243	0.078023
Psal_001159	0.3417	0.3265	0.2736	0.2645	0.207	0.034	0.43	56.94	0.484	0.517	2052	2095	-0.319666	0.047255
Psal_001160	0.3315	0.3427	0.2794	0.3124	0.199	0.026	0.425	58.68	0.509	0.493	642	670	-0.217313	0.09403
Psal_001161	0.3115	0.3594	0.2786	0.3084	0.205	0.019	0.423	58.35	0.522	0.493	770	787	-0.405591	0.055909
Psal_001162	0.2792	0.4134	0.27	0.2188	0.212	0.031	0.441	53.91	0.537	0.535	512	522	-0.398276	0.09387
Psal_001163	0.315	0.3699	0.2467	0.2441	0.182	-0.007	0.392	59.57	0.517	0.532	553	569	-0.32355	0.047452
Psal_001164	0.3045	0.3076	0.3177	0.278	0.198	0.028	0.426	58.81	0.478	0.523	780	798	-0.52193	0.052632
Psal_001165	0.2766	0.4495	0.1964	0.3032	0.264	0.092	0.481	53.42	0.609	0.526	432	447	-0.249217	0.114094
Psal_001166	0.3569	0.265	0.2898	0.2655	0.173	-0.036	0.405	61	0.447	0.546	331	341	-1.109971	0.035191
Psal_001167	0.2528	0.6404	0.1083	0.1233	0.329	0.271	0.591	37.04	0.681	0.599	389	405	0.023951	0.079012
Psal_001168	0.3056	0.3413	0.2893	0.2844	0.179	-0.013	0.397	60.77	0.505	0.501	297	303	-0.456766	0.059406
Psal_001169	0.3041	0.3818	0.2428	0.3124	0.22	0.025	0.418	56.19	0.551	0.507	708	726	-0.101515	0.067493
Psal_001170	0.3379	0.3151	0.3056	0.3198	0.215	-0.051	0.393	60.81	0.485	0.497	272	279	-0.490681	0.053763
Psal_001171	0.3454	0.3133	0.2851	0.3053	0.22	0.001	0.417	57.51	0.487	0.495	302	313	-0.254952	0.089457
Psal_001172	0.3006	0.3459	0.3017	0.262	0.186	-0.012	0.395	58.62	0.496	0.507	780	808	-0.073144	0.055693
Psal_001173	0.3122	0.4008	0.2409	0.275	0.255	0.11	0.487	61	0.542	0.508	277	288	-0.175347	0.083333
Psal_001174	0.3047	0.4034	0.2451	0.2521	0.23	0.078	0.458	59.35	0.536	0.494	522	551	0.445916	0.141561
Psal_001175	0.3164	0.3927	0.2649	0.2672	0.266	0.154	0.512	56.38	0.524	0.519	332	348	-0.314655	0.100575
Psal_001176	0.2994	0.358	0.3545	0.2343	0.2	-0.022	0.42	57.97	0.474	0.506	386	398	-0.581658	0.077889
Psal_001177	0.3168	0.3345	0.2981	0.2831	0.211	0.057	0.444	57.72	0.495	0.513	1454	1527	-0.664833	0.073346
Psal_001178	0.2673	0.4059	0.2593	0.2466	0.219	0.093	0.467	55.92	0.551	0.472	107	118	0.647458	0.161017
Psal_001179	0.3636	0.4439	0.196	0.2625	0.286	0.121	0.497	53.2	0.549	0.513	455	472	-0.416102	0.088983
Psal_001180	0.266	0.3883	0.2928	0.3779	0.229	0.017	0.436	61	0.573	0.47	241	251	-0.576494	0.095618
Psal_001181	0.3229	0.3378	0.2735	0.2988	0.195	0.024	0.425	58.64	0.509	0.509	778	810	-0.448642	0.093827
Psal_001182	0.3151	0.4795	0.1692	0.2381	0.26	0.201	0.536	49.64	0.595	0.535	84	86	-0.355814	0.046512
Psal_001183	0.3775	0.3324	0.288	0.2284	0.241	0.053	0.447	54.51	0.452	0.501	407	426	-0.562676	0.093897
Psal_001184	0.3677	0.3737	0.2524	0.2545	0.259	0.141	0.49	51.66	0.498	0.511	629	646	-0.537307	0.044892
Psal_001185	0.2485	0.4497	0.2877	0.1704	0.181	-0.026	0.393	57.43	0.541	0.533	183	192	0.343229	0.104167
Psal_001186	0.2538	0.2462	0.2985	0.3712	0.151	-0.05	0.364	55.8	0.526	0.571	154	161	-0.465218	0.055901
Psal_001187	0.336	0.332	0.2766	0.2521	0.215	0.056	0.448	58.67	0.485	0.547	598	618	-0.700324	0.05178
Psal_001188	0.4046	0.4275	0.1784	0.2183	0.288	0.117	0.495	46.46	0.519	0.524	620	640	-0.346719	0.08125
Psal_001189	0.3333	0.3043	0.2642	0.2969	0.168	-0.008	0.399	60.67	0.495	0.531	754	786	-0.456107	0.072519
Psal_001190	0.285	0.4106	0.2877	0.2608	0.213	0.039	0.44	56.73	0.536	0.504	659	692	-0.277457	0.096821
Psal_001191	0.3194	0.4	0.25	0.2357	0.224	0.076	0.472	60.16	0.526	0.505	392	407	-0.221867	0.120393
Psal_001192	0.3469	0.3316	0.3354	0.2065	0.209	-0.065	0.386	55.29	0.441	0.493	220	229	-0.244542	0.113537
Psal_001193	0.301	0.6097	0.0898	0.2558	0.347	0.222	0.557	35.53	0.684	0.56	636	646	-0.441796	0.068111
Psal_001194	0.2689	0.4434	0.2572	0.2651	0.238	0.104	0.467	53.92	0.57	0.533	749	766	-0.369582	0.071802
Psal_001195	0.3421	0.4276	0.2281	0.1679	0.215	0.087	0.453	44.33	0.509	0.587	344	353	-0.570538	0.067989
Psal_001196	0.2978	0.4635	0.2141	0.2651	0.236	0.106	0.474	51.89	0.582	0.528	435	452	-0.266814	0.077434
Psal_001197	0.3371	0.3708	0.3132	0.1977	0.232	0.092	0.47	59.71	0.461	0.496	217	225	-0.256889	0.075556
Psal_001198	0.3278	0.41	0.2674	0.3137	0.248	0.031	0.442	57.97	0.541	0.485	1059	1098	-0.578415	0.100182
Psal_001199	0.3425	0.3195	0.2806	0.239	0.194	0.027	0.432	57.69	0.47	0.556	1523	1547	-1.179703	0.032967
Psal_001200	0.3298	0.3272	0.2925	0.3255	0.203	-0.042	0.4	61	0.505	0.483	467	484	-0.539876	0.10124
Psal_001201	0.335	0.3401	0.2784	0.2364	0.174	-0.033	0.389	61	0.48	0.488	221	233	0.354936	0.107296
Psal_001202	0.3111	0.3963	0.2872	0.3048	0.208	-0.09	0.381	58.51	0.534	0.514	354	368	-0.78125	0.0625
Psal_001203	0.3409	0.3284	0.2781	0.2518	0.209	0.061	0.446	58.2	0.478	0.53	1037	1073	-0.579963	0.051258
Psal_001204	0.2973	0.3739	0.2011	0.3333	0.186	-0.009	0.405	61	0.579	0.514	247	259	0.257529	0.123552
Psal_001205	0.3025	0.3319	0.308	0.3211	0.176	-0.036	0.401	61	0.507	0.511	294	300	-0.543	0.043333
Psal_001206	0.3129	0.4254	0.2445	0.2506	0.25	0.091	0.472	55.35	0.544	0.53	579	602	-0.330066	0.094684
Psal_001207	0.2796	0.2906	0.2279	0.4076	0.194	-0.004	0.414	56.6	0.575	0.554	971	992	-0.759476	0.054435
Psal_001208	0.268	0.2474	0.3187	0.4444	0.182	-0.097	0.361	56.46	0.538	0.509	119	123	-0.606504	0.073171
Psal_001209	0.3174	0.3242	0.2328	0.3706	0.212	0.021	0.434	56.66	0.551	0.543	730	755	-0.685166	0.047682
Psal_001210	0.2299	0.4806	0.2095	0.2735	0.226	0.061	0.45	46.09	0.629	0.578	771	783	-0.585568	0.047254
Psal_001211	0.2092	0.4847	0.2222	0.3607	0.256	0.139	0.512	51.56	0.66	0.55	244	255	-0.98549	0.054902
Psal_001212	0.2705	0.377	0.1695	0.3585	0.257	0.132	0.496	49.75	0.613	0.594	137	142	0.329577	0.070423
Psal_001213	0.2861	0.4253	0.2767	0.277	0.209	0.017	0.43	56.53	0.551	0.531	472	485	-0.670928	0.074227
Psal_001214	0.1935	0.3441	0.3451	0.3451	0.212	0.008	0.438	58.68	0.555	0.587	128	129	-1.95969	0
Psal_001215	0.346	0.3483	0.2654	0.261	0.18	0.022	0.42	57.72	0.491	0.493	481	500	-0.1696	0.084
Psal_001216	0.3047	0.374	0.2633	0.2921	0.213	0.06	0.451	59.69	0.533	0.527	426	444	-0.131081	0.094595
Psal_001217	0.2427	0.5105	0.205	0.2614	0.235	0.088	0.461	50.33	0.629	0.539	267	276	-0.078623	0.094203
Psal_001218	0.2885	0.5	0.1538	0.2759	0.348	0.285	0.564	45.44	0.618	0.474	55	57	1.191228	0.157895
Psal_001219	0.3411	0.3677	0.2775	0.2909	0.25	0.066	0.465	58.52	0.505	0.501	736	757	-0.50753	0.054161
Psal_001220	0.3862	0.4815	0.1111	0.3234	0.231	-0.072	0.384	43.68	0.633	0.647	281	282	-0.870922	0.010638
Psal_001221	0.2617	0.5187	0.2156	0.125	0.24	0.141	0.484	49.44	0.584	0.516	221	236	0.897881	0.127119
Psal_001222	0.3271	0.3514	0.2731	0.3268	0.218	-0.006	0.424	58.99	0.525	0.519	674	692	-0.753035	0.059249
Psal_001223	0.3507	0.2239	0.2835	0.314	0.214	0.055	0.437	60.99	0.45	0.505	151	155	0.399355	0.096774
Psal_001224	0.34	0.2975	0.2321	0.282	0.181	0.006	0.407	57.82	0.495	0.529	487	505	-0.174455	0.10297
Psal_001225	0.3345	0.4232	0.1843	0.2034	0.219	0.081	0.445	54.84	0.543	0.528	317	330	0.197576	0.10303
Psal_001226	0.2821	0.3636	0.25	0.2616	0.202	0.11	0.46	60.29	0.534	0.552	354	370	0.065946	0.086486
Psal_001227	0.3401	0.2942	0.2489	0.3087	0.199	0.026	0.423	58.4	0.498	0.532	1075	1113	-0.217071	0.065589
Psal_001228	0.2946	0.4035	0.2213	0.315	0.21	0.027	0.429	56.59	0.573	0.515	464	479	-0.17453	0.098121
Psal_001229	0.3037	0.4099	0.2304	0.3034	0.214	0.059	0.456	58.07	0.565	0.51	485	499	-0.375752	0.07014
Psal_001230	0.3142	0.4126	0.2648	0.2523	0.217	0.064	0.451	53.24	0.528	0.508	443	463	-0.251836	0.071274
Psal_001231	0.3457	0.3629	0.2483	0.2125	0.193	0.054	0.426	54.16	0.487	0.489	380	400	0.5845	0.14
Psal_001232	0.3578	0.2982	0.3069	0.2796	0.192	-0.029	0.405	60.56	0.455	0.472	257	262	-0.472519	0.083969
Psal_001233	0.3482	0.3544	0.2773	0.2434	0.219	0.052	0.44	57.44	0.482	0.486	1130	1167	-0.116624	0.078835
Psal_001234	0.3503	0.3588	0.2857	0.2513	0.227	0.053	0.458	56.97	0.486	0.5	554	577	-0.420451	0.103986
Psal_001235	0.3388	0.3205	0.2741	0.2633	0.199	0.037	0.431	59.38	0.483	0.527	1202	1241	-0.578324	0.0556
Psal_001236	0.3069	0.3218	0.3128	0.2453	0.18	0.023	0.405	61	0.468	0.467	222	230	0.260435	0.117391
Psal_001237	0.3197	0.381	0.2713	0.1416	0.174	0.022	0.407	55.12	0.472	0.507	305	317	0.653943	0.107256
Psal_001239	0.3178	0.3965	0.2261	0.2877	0.232	0.098	0.477	55.95	0.55	0.518	400	409	-0.130562	0.085575
Psal_001240	0.2299	0.4598	0.2378	0.2105	0.234	0.213	0.522	48.79	0.593	0.582	182	186	-0.530108	0.043011
Psal_001241	0.2475	0.6416	0.1013	0.359	0.325	0.156	0.517	35.82	0.736	0.529	681	700	-0.490714	0.08
Psal_001242	0.3033	0.3561	0.2894	0.3114	0.218	0.049	0.441	59.03	0.523	0.505	809	838	-0.419451	0.068019
Psal_001243	0.3654	0.4808	0.1986	0.2273	0.287	0.104	0.489	49.74	0.553	0.537	190	195	-0.748718	0.020513
Psal_001244	0.2765	0.318	0.3401	0.3242	0.169	-0.098	0.361	53.89	0.502	0.509	255	266	-0.379699	0.093985
Psal_001245	0.2409	0.4307	0.2519	0.3252	0.209	0.03	0.424	59.69	0.6	0.51	165	170	-0.052353	0.070588
Psal_001246	0.2629	0.3347	0.2727	0.3219	0.211	0.057	0.446	61	0.541	0.545	294	307	0.118567	0.035831
Psal_001247	0.3169	0.3934	0.2609	0.2746	0.215	0.031	0.422	53.96	0.527	0.501	448	460	-0.233261	0.06087
Psal_001248	0.3526	0.2717	0.3567	0.3125	0.201	-0.036	0.42	58.98	0.443	0.504	219	227	-1.037004	0.07489
Psal_001249	0.3179	0.2513	0.2434	0.3955	0.18	0.051	0.436	59.25	0.524	0.541	227	237	-0.425316	0.050633
Psal_001250	0.3167	0.2833	0.3701	0.2829	0.142	0.023	0.442	59.88	0.452	0.556	208	217	-2.182488	0.041475
Psal_001251	0.2469	0.5556	0.2209	0.3418	0.242	0.039	0.45	49.99	0.649	0.501	111	113	-0.661947	0.070796
Psal_001252	0.3358	0.3507	0.3057	0.2922	0.267	0.158	0.53	61	0.497	0.525	185	193	-1.501554	0.041451
Psal_001253	0.1667	0.5119	0.2692	0.2568	0.23	0.097	0.46	43.09	0.639	0.572	291	298	-0.465101	0.067114
Psal_001254	0.2984	0.3298	0.2294	0.3292	0.187	0.027	0.426	57.13	0.546	0.543	423	434	-0.319816	0.092166
Psal_001255	0.2956	0.4012	0.2879	0.2397	0.242	0.118	0.486	55.74	0.518	0.524	627	649	-0.490601	0.049307
Psal_001256	0.3063	0.5066	0.1691	0.249	0.254	0.136	0.492	47.16	0.608	0.529	711	738	-0.289837	0.078591
Psal_001257	0.3396	0.3208	0.2267	0.3125	0.181	0.028	0.424	54.78	0.522	0.564	184	195	-0.781538	0.041026
Psal_001258	0.3119	0.3796	0.2913	0.2724	0.208	0.036	0.439	59.2	0.513	0.492	1112	1151	-0.407646	0.06603
Psal_001259	0.3167	0.3435	0.3041	0.2696	0.193	-0.019	0.403	58.23	0.489	0.49	998	1023	-0.284653	0.062561
Psal_001260	0.2876	0.3451	0.2857	0.3105	0.205	0.06	0.448	60.28	0.527	0.518	277	290	-0.347931	0.062069
Psal_001261	0.1333	0.4111	0.3218	0.2941	0.138	-0.17	0.314	46.06	0.608	0.571	102	104	-0.598077	0.086538
Psal_001262	0.2966	0.4	0.2278	0.2863	0.205	0.038	0.442	55.51	0.561	0.544	330	336	-0.231845	0.08631
Psal_001263	0.2345	0.3862	0.3145	0.2564	0.205	0.037	0.428	57.66	0.541	0.54	159	168	-0.251786	0.107143
Psal_001264	0.3438	0.3247	0.2604	0.2444	0.195	0.017	0.429	57.69	0.481	0.535	1496	1522	-0.763863	0.045335
Psal_001265	0.2696	0.3652	0.2946	0.3725	0.199	-0.036	0.396	61	0.556	0.489	144	148	-0.442568	0.094595
Psal_001266	0.3117	0.3644	0.3214	0.2356	0.201	0.028	0.438	59.43	0.483	0.529	592	607	-0.811862	0.075783
Psal_001267	0.3399	0.3713	0.2667	0.2639	0.199	0.032	0.436	59.84	0.504	0.506	690	723	-0.315353	0.096819
Psal_001268	0.3413	0.2837	0.2978	0.3131	0.192	0.05	0.451	59.68	0.477	0.509	264	270	-0.991111	0.037037
Psal_001269	0.3284	0.3432	0.2857	0.2871	0.226	0.016	0.437	56.76	0.5	0.513	522	567	-0.317989	0.042328
Psal_001270	0.3658	0.3233	0.2573	0.2461	0.219	0.069	0.465	59.61	0.474	0.536	861	895	-0.712179	0.050279
Psal_001271	0.2733	0.2667	0.2582	0.4885	0.289	0.028	0.451	49.35	0.587	0.521	213	218	-0.530734	0.055046
Psal_001272	0.3215	0.3628	0.3226	0.2231	0.197	-0.001	0.413	55.67	0.476	0.493	380	392	-0.346939	0.094388
Psal_001273	0.3818	0.4745	0.1575	0.2118	0.262	0.139	0.501	40.23	0.557	0.561	668	696	-0.525287	0.067529
Psal_001274	0.2535	0.3687	0.3316	0.2965	0.201	0.016	0.43	61	0.526	0.501	249	260	-0.044616	0.138462
Psal_001275	0.3478	0.4855	0.144	0.2561	0.29	0.133	0.509	46.02	0.597	0.555	330	334	-0.615868	0.065868
Psal_001276	0.2599	0.4312	0.2477	0.318	0.227	0.061	0.444	56.45	0.588	0.517	405	414	-0.107005	0.062802
Psal_001277	0.2892	0.4031	0.2492	0.2787	0.202	0.06	0.437	56.58	0.552	0.515	382	387	-0.098966	0.067183
Psal_001278	0.3137	0.3613	0.3305	0.2118	0.218	0.038	0.446	55.99	0.465	0.517	424	441	-0.224036	0.0839
Psal_001279	0.3755	0.3525	0.2412	0.2488	0.218	0.013	0.409	58.81	0.487	0.504	298	312	-0.038461	0.073718
Psal_001280	0.3435	0.3452	0.2706	0.2216	0.178	0.039	0.42	57.45	0.474	0.497	671	692	0.164306	0.075145
Psal_001281	0.3111	0.3407	0.2436	0.2972	0.215	0.036	0.429	59.21	0.524	0.491	296	309	0.536246	0.116505
Psal_001282	0.3278	0.408	0.2698	0.2638	0.226	0.026	0.445	57.62	0.522	0.491	362	370	-0.54	0.059459
Psal_001283	0.3345	0.331	0.3017	0.2308	0.181	-0.081	0.353	57.26	0.466	0.562	348	365	-0.64411	0.068493
Psal_001284	0.2799	0.4172	0.2533	0.2733	0.21	0.06	0.463	55.73	0.561	0.528	871	918	-0.659913	0.058824
Psal_001285	0.3743	0.224	0.2925	0.2667	0.174	-0.062	0.375	58.54	0.42	0.565	405	413	-0.904116	0.05569
Psal_001286	0.2871	0.3474	0.2807	0.3067	0.201	0.052	0.442	58.53	0.527	0.51	554	577	-0.10104	0.079723
Psal_001287	0.3228	0.3711	0.2549	0.2718	0.215	0.036	0.437	55.71	0.519	0.508	632	653	-0.099081	0.088821
Psal_001288	0.3111	0.3111	0.2931	0.295	0.168	-0.005	0.399	57.16	0.492	0.5	721	742	-0.03814	0.043127
Psal_001289	0.3475	0.4066	0.2145	0.2867	0.282	0.119	0.496	50.97	0.546	0.529	377	397	-0.479345	0.088161
Psal_001290	0.4675	0.3136	0.1615	0.2993	0.258	0.118	0.485	52.27	0.48	0.504	202	213	-0.001878	0.098592
Psal_001291	0.3306	0.3245	0.228	0.3246	0.191	0.002	0.415	59.5	0.527	0.526	1117	1149	-0.228286	0.075718
Psal_001292	0.224	0.3073	0.2135	0.4598	0.163	-0.039	0.372	56.53	0.623	0.557	223	235	0.129362	0.06383
Psal_001293	0.3092	0.3694	0.1876	0.3524	0.207	0.016	0.435	52.46	0.584	0.562	842	865	-0.549017	0.05896
Psal_001294	0.3366	0.2902	0.3313	0.2228	0.203	0.017	0.424	58.66	0.429	0.538	965	983	-0.676399	0.051882
Psal_001295	0.3285	0.2995	0.283	0.359	0.211	-0.058	0.388	60.69	0.516	0.523	556	577	-0.841421	0.062392
Psal_001296	0.3205	0.411	0.2176	0.2935	0.24	0.062	0.454	55.96	0.558	0.509	432	443	-0.046727	0.090293
Psal_001297	0.3548	0.3441	0.3146	0.2414	0.227	0.093	0.456	50.84	0.465	0.504	114	119	-0.788235	0.10084
Psal_001298	0.3008	0.364	0.2907	0.2684	0.195	0.014	0.421	58.22	0.512	0.511	1053	1083	-0.243398	0.076639
Psal_001299	0.2857	0.5102	0.2391	0.186	0.228	0.054	0.448	31.08	0.569	0.559	58	62	-0.106452	0.145161
Psal_001300	0.3346	0.3181	0.2958	0.3061	0.195	0.008	0.42	58.09	0.488	0.494	686	714	-0.35098	0.054622
Psal_001301	0.3174	0.3114	0.284	0.2727	0.167	0.042	0.42	61	0.487	0.531	193	201	-0.576617	0.094527
Psal_001302	0.3192	0.3192	0.2931	0.2563	0.211	0.052	0.463	61	0.48	0.567	352	356	-0.81573	0.058989
Psal_001303	0.2925	0.381	0.2671	0.3047	0.218	0.013	0.421	58.48	0.546	0.539	361	367	-0.620164	0.035422
Psal_001304	0.3633	0.382	0.2923	0.2054	0.22	0.02	0.434	54.45	0.469	0.491	629	656	-0.567683	0.091463
Psal_001305	0.3672	0.3377	0.2051	0.3385	0.213	-0.045	0.398	55.45	0.532	0.522	359	370	-0.542703	0.086486
Psal_001306	0.2674	0.4293	0.2769	0.2321	0.205	0.08	0.455	53.51	0.548	0.515	429	441	0.121769	0.077098
Psal_001307	0.3448	0.3172	0.2296	0.4113	0.234	0.007	0.41	61	0.545	0.481	178	189	-0.222751	0.089947
Psal_001308	0.4321	0.3086	0.3636	0.1935	0.265	0.028	0.448	61	0.385	0.48	96	98	-0.972449	0.091837
Psal_001309	0.3469	0.3954	0.2813	0.2072	0.211	0.025	0.434	53.81	0.486	0.494	461	480	-0.431667	0.083333
Psal_001310	0.3084	0.3645	0.2184	0.3133	0.214	0.096	0.47	57.03	0.556	0.52	117	123	-0.230894	0.089431
Psal_001311	0.3951	0.3287	0.1837	0.3245	0.234	0.015	0.432	54.73	0.522	0.539	345	353	-0.744476	0.067989
Psal_001312	0.2466	0.3836	0.3154	0.2712	0.198	0.046	0.43	52.89	0.533	0.524	165	171	-0.45614	0.064327
Psal_001313	0.3148	0.3333	0.1702	0.5	0.25	-0.066	0.364	52.4	0.621	0.502	66	71	-0.283099	0.112676
Psal_001314	0.3563	0.396	0.2167	0.1955	0.253	0.127	0.497	53.83	0.506	0.546	718	754	-0.263926	0.104775
Psal_001315	0.3371	0.2725	0.2828	0.267	0.192	0.021	0.422	58.19	0.461	0.546	901	919	-0.477584	0.03482
Psal_001316	0.3348	0.3153	0.2948	0.3034	0.198	0.019	0.43	57.28	0.487	0.526	556	573	-0.920942	0.054101
Psal_001317	0.3431	0.3226	0.3146	0.242	0.191	-0.002	0.413	58.46	0.456	0.496	390	411	-0.39708	0.090024
Psal_001318	0.3051	0.3293	0.2679	0.3116	0.191	0.032	0.422	59.57	0.518	0.511	554	570	-0.117544	0.077193
Psal_001319	0.3417	0.3222	0.3096	0.2636	0.22	0.064	0.449	57.79	0.462	0.486	439	451	-0.199335	0.053215
Psal_001320	0.3064	0.3832	0.2906	0.2568	0.222	0.102	0.475	57.14	0.512	0.508	1442	1508	-0.447613	0.093501
Psal_001321	0.3636	0.3636	0.2698	0.2049	0.217	0.065	0.45	58.31	0.474	0.508	171	183	-0.385246	0.125683
Psal_001322	0.2643	0.304	0.3222	0.3436	0.183	-0.037	0.398	59.37	0.518	0.532	284	288	-0.897917	0.017361
Psal_001323	0.258	0.5362	0.2079	0.1731	0.272	0.133	0.5	44.32	0.606	0.547	386	396	-0.333838	0.075758
Psal_001324	0.3186	0.3269	0.2619	0.2753	0.18	0.038	0.427	59.26	0.503	0.518	794	837	-0.171565	0.081243
Psal_001325	0.2967	0.3309	0.2681	0.2664	0.194	0.068	0.442	57.01	0.508	0.541	901	928	-0.118427	0.081897
Psal_001326	0.12	0.56	0.2718	0.2789	0.23	0.154	0.517	47.73	0.691	0.578	259	264	-1.186364	0.102273
Psal_001327	0.3152	0.3478	0.2917	0.2826	0.257	0.155	0.504	61	0.504	0.543	115	119	-0.886555	0.067227
Psal_001328	0.3869	0.3508	0.2035	0.2734	0.27	0.107	0.48	50.95	0.506	0.525	356	364	-0.08489	0.068681
Psal_001329	0.3107	0.4576	0.2209	0.277	0.253	0.019	0.446	55.24	0.573	0.509	213	220	-0.279091	0.113636
Psal_001330	0.3632	0.3308	0.2892	0.2203	0.196	0.004	0.418	57.37	0.453	0.517	730	759	-0.470751	0.079051
Psal_001331	0.3353	0.3653	0.2078	0.3034	0.218	0.069	0.456	61	0.544	0.537	193	198	-0.418687	0.085859
Psal_001332	0.2687	0.4422	0.2632	0.2328	0.251	0.145	0.501	53.86	0.554	0.534	345	360	0.021944	0.063889
