GC1	GC2	GC3	GC	CAI	CBI	Fop	Nc	Gravy	Aromo
57.4	40.52	53.51	50.48	0.204	0.046	0.428	55.14	-0.08724	0.072917
52.04	60.2	66.84	59.69	0.161	-0.043	0.39	49.28	-0.022051	0.046154
55.09	45.91	55.29	52.1	0.196	0.054	0.438	57.82	-0.4362	0.1
53.41	42.42	56.82	50.88	0.187	0.09	0.456	58.68	-0.138403	0.087452
55.27	37.53	52.7	48.5	0.213	0.058	0.433	56.53	0.002577	0.095361
48.07	50.11	67.57	55.25	0.19	0.015	0.426	49.88	-0.090455	0.068182
56.74	39.12	56.74	50.86	0.192	0.056	0.427	55.9	-0.023377	0.083117
56.56	39.07	54.24	49.96	0.185	0.03	0.42	56.49	0.021649	0.085052
51.91	38.98	59.75	50.21	0.211	0.057	0.442	49.92	-0.164543	0.087049
47.92	55.56	50.69	51.39	0.117	-0.079	0.349	59.62	-0.253846	0.125874
61.86	40.21	56.7	52.92	0.196	0.144	0.489	46.57	-0.16875	0.104167
54.97	53.64	54.97	54.53	0.241	0.123	0.507	51.16	-0.001333	0.073333
47.39	46.52	53.48	49.13	0.214	-0.003	0.422	59.87	-0.466231	0.115468
50.0	46.32	58.82	51.72	0.192	0.049	0.422	61	0.232593	0.096296
53.66	44.21	52.96	50.28	0.216	0.015	0.421	59.34	-0.392891	0.109005
59.7	44.78	58.21	54.23	0.162	-0.147	0.306	42.91	-0.393939	0.075758
61.97	52.11	57.75	57.28	0.19	0.084	0.435	56.88	0.118572	0.057143
51.67	60.0	65.0	58.89	0.242	0.166	0.517	34.89	0.050847	0.016949
56.39	57.14	58.65	57.39	0.206	0.112	0.465	51.75	-0.331818	0.05303
54.39	39.09	48.44	47.31	0.181	-0.022	0.384	59.56	0.000568	0.085227
55.3	37.12	68.94	53.79	0.258	0.225	0.546	50.56	-0.69084	0.076336
61.44	46.41	49.67	52.51	0.211	0.002	0.409	53.84	-0.141447	0.059211
61.27	39.37	52.06	50.9	0.259	0.109	0.475	57.68	-0.442038	0.098726
62.78	39.44	58.33	53.52	0.252	0.124	0.483	56.08	-0.52514	0.134078
56.18	49.72	52.95	52.95	0.213	0.039	0.438	57.32	-0.480315	0.065354
60.31	56.7	59.28	58.76	0.249	0.167	0.521	53.68	-0.393782	0.036269
55.84	41.56	58.87	52.09	0.196	0.044	0.419	59.39	-0.09087	0.1
61.51	46.71	52.11	53.44	0.23	0.05	0.444	54.36	-0.658525	0.075049
60.39	46.43	49.51	52.11	0.211	0.059	0.443	55.57	-0.470894	0.071545
62.95	39.55	42.06	48.19	0.198	-0.067	0.374	54.89	-0.659497	0.069832
59.03	38.19	56.25	51.16	0.216	0.055	0.435	52.38	-0.53007	0.111888
60.65	43.79	54.44	52.96	0.217	0.006	0.421	56.77	-0.408012	0.094955
56.94	42.63	47.54	49.04	0.222	0.008	0.421	56.98	-0.514866	0.095187
58.27	38.58	59.84	52.23	0.236	0.083	0.465	50.98	-0.441107	0.051383
57.78	53.78	51.11	54.22	0.188	0.026	0.433	56.83	-0.390179	0.09375
53.23	45.25	54.37	50.95	0.234	0.108	0.473	61	0.063741	0.103053
60.61	40.91	55.3	52.27	0.203	0.014	0.419	53.95	-0.413741	0.114504
56.79	40.44	59.28	52.17	0.183	0.0	0.402	54.2	-0.253056	0.1
60.0	43.66	52.42	52.03	0.185	-0.038	0.382	58.23	-0.382734	0.068018
60.0	53.94	52.73	55.56	0.166	-0.036	0.394	61	-1.055488	0.0
60.93	45.51	56.82	54.42	0.228	0.065	0.452	55.01	-0.407484	0.076707
62.24	45.92	53.15	53.77	0.219	0.069	0.45	59.88	-0.347196	0.065421
61.48	48.56	57.18	55.74	0.268	0.188	0.527	55.28	-0.416307	0.083933
57.82	47.62	59.18	54.88	0.196	-0.082	0.366	58	-0.52628	0.09215
59.72	49.82	54.53	54.69	0.213	-0.008	0.422	57.68	-0.831447	0.063417
54.66	46.56	48.99	50.07	0.196	0.039	0.432	58.68	-0.271951	0.089431
57.36	39.57	50.31	49.08	0.202	0.032	0.422	58.25	-0.057231	0.086154
62.38	54.46	50.5	55.78	0.269	0.153	0.495	61	0.129	0.05
51.72	47.3	55.39	51.47	0.235	0.066	0.462	59.45	-0.478379	0.127764
62.24	53.06	48.98	54.76	0.182	-0.02	0.398	53.5	-0.092784	0.072165
52.52	41.49	56.83	50.28	0.208	0.028	0.433	54.83	-0.432933	0.112981
53.58	39.59	55.97	49.72	0.19	0.073	0.445	60.81	-0.212671	0.099315
50.0	52.9	56.52	53.14	0.182	0.073	0.458	61	-0.621818	0.105455
53.62	34.89	50.21	46.24	0.248	0.035	0.443	59.3	-0.226068	0.07265
51.88	44.64	47.25	47.92	0.216	-0.049	0.402	56.74	-0.205814	0.090116
51.05	29.11	34.18	38.12	0.212	-0.059	0.394	46.55	-0.724153	0.080508
39.13	30.43	49.28	39.61	0.271	0.019	0.452	56.48	-0.422059	0.102941
59.62	48.3	52.08	53.33	0.227	0.103	0.473	52.46	-0.151894	0.05303
56.36	47.27	54.55	52.73	0.161	-0.047	0.388	46.96	-0.324074	0.055556
57.41	42.59	61.81	53.94	0.233	-0.014	0.423	58.96	-0.58051	0.076566
60.48	42.22	54.19	52.3	0.225	0.073	0.451	56.93	-0.312913	0.072072
55.91	47.44	56.26	53.2	0.205	0.035	0.442	59.32	-0.665194	0.075972
50.32	35.71	33.12	39.72	0.2	-0.156	0.34	50.09	-0.691707	0.086179
53.74	46.03	59.11	52.96	0.212	0.036	0.438	57.7	-0.455035	0.098361
51.96	42.04	56.4	50.13	0.245	0.078	0.466	56.22	-0.573298	0.10733
57.5	50.0	56.25	54.58	0.162	-0.103	0.339	56.96	-0.194142	0.054393
51.26	42.42	63.13	52.27	0.251	0.089	0.478	55.68	-0.365316	0.116456
54.79	46.03	53.7	51.51	0.216	-0.021	0.413	61	-0.394505	0.098901
50.65	54.55	46.75	50.65	0.18	-0.011	0.409	60.73	-0.319565	0.043478
58.21	42.54	57.46	52.74	0.215	0.074	0.462	54.77	-0.534586	0.052632
54.82	43.86	60.96	53.22	0.26	0.149	0.507	54.97	-0.197357	0.118943
47.27	53.18	53.64	51.36	0.204	0.06	0.453	61	-0.415068	0.050228
57.8	54.13	64.22	58.72	0.214	0.101	0.462	55.3	-0.163889	0.064815
48.91	41.53	61.75	50.73	0.195	0.04	0.429	57.15	0.38	0.126027
54.75	46.01	56.65	52.47	0.196	0.105	0.461	55.9	0.102672	0.076336
54.83	42.09	61.6	52.84	0.215	0.143	0.473	53.34	0.302675	0.061728
53.85	41.19	57.57	50.87	0.171	0.065	0.431	56.53	0.023881	0.054726
52.63	40.96	60.41	51.33	0.249	0.141	0.505	55.34	-0.457339	0.119266
54.92	38.9	58.58	50.8	0.236	0.163	0.5	56.7	-0.198395	0.09633
64.8	41.6	45.6	50.67	0.201	-0.021	0.397	59.96	-0.704032	0.040323
59.98	40.5	63.54	54.67	0.288	0.117	0.496	49.07	-0.570511	0.070155
72.81	61.4	40.35	58.19	0.223	0.052	0.413	49.51	-0.716814	0.070796
64.32	60.8	41.71	55.61	0.192	0.089	0.461	60.42	-0.411111	0.10101
53.85	54.95	49.45	52.75	0.148	-0.094	0.341	50.43	0.084444	0.077778
44.68	43.97	65.96	51.54	0.272	0.156	0.519	57.19	-0.27	0.121429
57.74	43.06	56.35	52.38	0.197	0.028	0.412	57.24	-0.097018	0.093439
48.28	40.75	63.32	50.78	0.214	0.142	0.497	51.97	-0.605346	0.110063
55.06	39.89	50.56	48.5	0.184	-0.059	0.386	57.72	-0.420904	0.039548
54.24	61.62	51.66	55.84	0.192	0.116	0.475	58.1	-0.189259	0.066667
60.23	45.42	53.58	53.08	0.249	0.097	0.472	48.64	-0.330167	0.066667
54.88	45.12	53.95	51.32	0.199	0.085	0.456	57.08	-0.151087	0.096273
52.3	42.55	53.66	49.5	0.241	0.096	0.465	54.73	-0.003533	0.11413
50.56	47.78	47.22	48.52	0.171	-0.043	0.408	57.14	-0.87095	0.022346
56.14	53.19	49.77	53.03	0.183	-0.045	0.391	55.88	-0.883178	0.037383
57.59	41.48	52.78	50.62	0.256	0.094	0.478	57.99	-0.45102	0.089054
54.46	44.16	57.03	51.88	0.217	0.077	0.442	55.21	0.009722	0.093254
58.35	42.25	56.34	52.31	0.205	0.119	0.459	56.36	0.087096	0.076613
60.15	42.64	51.02	51.27	0.174	0.045	0.41	54.13	0.211705	0.063613
56.68	46.29	56.38	53.12	0.206	0.014	0.421	59	0.261905	0.098214
57.68	47.86	59.45	55.0	0.189	0.03	0.418	56.85	-0.064141	0.060606
53.77	44.72	55.28	51.26	0.196	-0.02	0.399	58.81	0.319647	0.11335
59.33	44.25	57.54	53.7	0.179	0.038	0.412	53.84	0.102584	0.065606
53.15	45.65	51.95	50.25	0.217	0.046	0.435	57.49	-0.293675	0.099398
55.26	44.74	51.32	50.44	0.182	0.027	0.417	38.33	0.264	0.08
57.52	46.02	53.1	52.21	0.207	0.073	0.439	60.15	-0.198214	0.080357
56.32	40.26	53.16	49.91	0.181	-0.03	0.372	57.9	0.231662	0.100264
49.41	42.6	58.88	50.3	0.2	-0.007	0.416	60.43	-0.58546	0.097923
56.91	53.19	53.72	54.61	0.222	0.037	0.425	57.21	-0.313904	0.090909
48.34	41.33	59.41	49.69	0.267	0.059	0.469	57.34	-0.380741	0.133333
48.7	42.75	59.48	50.31	0.235	0.048	0.453	59.67	-0.36903	0.119403
55.09	46.11	53.89	51.7	0.214	0.132	0.486	59.09	0.422222	0.099099
51.57	45.29	58.12	51.66	0.201	0.084	0.451	57.54	0.292913	0.086614
53.9	45.45	58.44	52.6	0.213	0.058	0.451	60.35	-0.295011	0.149675
56.78	48.58	55.05	53.47	0.208	0.054	0.44	60.21	0.413586	0.099526
58.38	39.31	54.05	50.58	0.249	0.055	0.45	60.2	-0.282029	0.095652
55.36	54.02	58.04	55.8	0.175	0.034	0.435	61	-0.257848	0.09417
49.65	58.87	59.57	56.03	0.201	0.12	0.485	52.16	0.447857	0.042857
57.26	39.76	55.07	50.7	0.185	0.043	0.416	55.47	-0.042829	0.089641
57.14	34.82	49.11	47.02	0.163	-0.098	0.346	61	-0.056757	0.072072
40.57	55.66	61.32	52.52	0.157	0.004	0.426	50.07	-0.574286	0.07619
51.76	48.24	54.12	51.37	0.196	0.018	0.432	60.93	-0.476923	0.071006
52.81	47.19	50.56	50.19	0.237	0.032	0.465	55.29	-0.893182	0.068182
46.5	55.41	51.59	51.17	0.19	0.05	0.456	54.55	-0.61859	0.089744
61.03	39.36	53.08	51.16	0.187	0.013	0.398	54.6	-0.081474	0.079681
59.13	44.27	51.39	51.6	0.244	0.084	0.46	57.61	-0.157764	0.071429
53.31	45.89	49.9	49.7	0.227	0.025	0.435	58.57	-0.443976	0.116466
62.41	51.88	51.88	55.39	0.224	0.108	0.48	60.07	-0.391667	0.121212
56.1	40.26	52.21	49.52	0.195	0.022	0.414	58.71	0.026302	0.078125
58.78	48.85	49.62	52.42	0.221	0.115	0.48	51.57	0.141538	0.069231
50.42	61.34	64.71	58.82	0.248	0.208	0.534	36.99	0.580508	0.025424
57.64	40.81	53.0	50.48	0.18	0.021	0.407	55.45	-0.10562	0.085271
57.3	51.69	58.43	55.81	0.223	0.209	0.524	51.85	0.3125	0.136364
62.44	45.79	55.02	54.42	0.204	-0.04	0.405	58	-1.210729	0.044534
63.11	49.78	54.22	55.7	0.246	0.052	0.443	53.7	-0.419643	0.075893
59.82	43.77	54.8	52.8	0.213	0.051	0.449	57.87	-0.585278	0.077199
58.95	46.69	49.22	51.62	0.219	0.032	0.441	55.25	-0.484211	0.062378
61.38	40.42	58.98	53.59	0.268	0.108	0.491	49.89	-0.536937	0.114114
57.28	47.61	56.68	53.86	0.224	0.017	0.432	58.08	-0.649104	0.07049
58.97	44.23	57.69	53.63	0.24	0.051	0.458	59.67	-0.563666	0.109325
56.31	51.42	55.24	54.32	0.193	0.011	0.413	55.64	-0.259022	0.070222
54.67	48.1	57.79	53.52	0.211	0.038	0.436	52.96	-0.361111	0.086806
56.57	47.93	56.93	53.81	0.222	0.02	0.433	58.25	-0.631912	0.070646
61.38	40.42	58.98	53.59	0.268	0.108	0.491	49.89	-0.536937	0.114114
58.95	46.69	49.22	51.62	0.219	0.032	0.441	55.25	-0.484211	0.062378
59.82	43.77	54.8	52.8	0.213	0.051	0.449	57.87	-0.585278	0.077199
58.95	42.37	51.41	50.91	0.232	0.068	0.459	57.39	-0.354717	0.077358
55.1	44.35	50.14	49.86	0.232	0.072	0.445	58.83	0.237293	0.129834
58.99	45.45	53.38	52.61	0.202	-0.013	0.401	55.33	-0.671512	0.087209
57.73	44.23	58.12	53.36	0.197	0.051	0.423	58.36	0.011765	0.084314
62.3	45.9	42.62	50.27	0.244	0.104	0.456	47.31	-0.318333	0.1
59.01	44.1	65.22	56.11	0.192	0.062	0.441	52.28	-0.17	0.06875
55.06	43.62	53.9	50.86	0.222	0.012	0.43	55.93	-0.415947	0.096346
60.0	46.37	50.61	52.33	0.216	0.034	0.433	53.88	-0.497315	0.076063
65.55	44.5	57.42	55.82	0.191	0.025	0.423	55.74	-0.065866	0.086538
55.64	41.19	54.46	50.43	0.184	0.056	0.424	55.03	0.002778	0.071429
53.5	44.16	56.42	51.36	0.186	0.051	0.429	57.97	-0.089084	0.077973
58.5	39.0	60.5	52.67	0.24	0.126	0.483	53.12	-0.289724	0.090226
56.29	39.31	61.32	52.31	0.253	0.12	0.484	55.82	-0.209464	0.078864
60.92	52.38	51.07	54.79	0.227	0.056	0.456	56.05	-0.666776	0.077303
50.42	43.07	55.67	49.72	0.204	0.089	0.454	61	0.077895	0.075789
48.92	45.54	56.63	50.36	0.179	0.025	0.421	60.27	-0.030435	0.096618
51.42	45.73	52.64	49.93	0.222	0.091	0.46	57.1	-0.092261	0.101833
51.72	42.65	56.62	50.33	0.196	0.036	0.42	57.41	0.355774	0.105651
69.83	51.72	51.72	57.76	0.23	0.213	0.526	51.63	0.851304	0.026087
53.19	44.89	55.74	51.28	0.209	0.067	0.447	59.9	-0.016631	0.085288
52.45	45.69	48.95	49.03	0.215	0.04	0.447	60.92	-0.161215	0.093458
55.6	57.59	50.35	54.52	0.207	0.058	0.448	59.18	-0.472301	0.059659
54.08	48.98	55.1	52.72	0.201	-0.021	0.406	60.38	0.109556	0.102389
56.93	43.07	55.72	51.91	0.215	0.058	0.45	61	-0.750453	0.060423
53.4	43.98	54.55	50.65	0.242	0.083	0.466	57.13	-0.322851	0.1174
57.26	41.91	55.6	51.59	0.282	0.119	0.509	57.24	-0.870833	0.079167
56.52	43.91	61.3	53.91	0.26	0.118	0.5	56	-0.577293	0.087336
53.26	39.13	48.19	46.86	0.233	0.014	0.427	59.89	-0.133091	0.098182
51.43	58.1	49.52	53.02	0.122	-0.065	0.368	56.65	-0.656731	0.144231
55.28	50.13	56.83	54.08	0.213	0.044	0.447	56.57	-0.547871	0.08129
58.48	43.91	56.3	52.9	0.251	0.107	0.486	58.22	-0.321569	0.091503
58.45	45.5	53.06	52.34	0.212	0.025	0.435	57.09	-0.466847	0.063063
58.78	44.88	54.2	52.62	0.214	0.002	0.416	57.1	-0.551327	0.073193
52.22	43.89	51.48	49.2	0.204	-0.006	0.404	58.97	-0.036549	0.081633
54.83	38.66	59.57	51.02	0.207	0.099	0.456	53.37	-0.007114	0.098814
53.78	39.73	55.68	49.73	0.171	-0.021	0.376	56.16	0.110569	0.078591
49.53	44.21	51.23	48.32	0.191	0.064	0.446	58.39	-0.164449	0.102662
56.1	40.24	54.88	50.41	0.217	0.028	0.434	60.24	-0.203068	0.055215
55.13	43.73	49.81	49.56	0.196	-0.029	0.406	61	-0.324427	0.087786
57.88	42.86	56.78	52.5	0.241	0.088	0.475	58.45	-0.145956	0.058824
54.82	41.86	51.5	49.39	0.27	0.085	0.476	61	-0.276	0.086667
57.6	49.6	57.6	54.93	0.244	0.181	0.521	48.85	-0.007631	0.108434
56.02	44.58	54.22	51.61	0.247	0.134	0.5	55.91	-0.108485	0.066667
66.86	57.14	56.0	60.0	0.271	0.146	0.509	42.24	0.365517	0.028736
55.98	42.62	54.71	51.1	0.241	0.072	0.46	57.12	-0.486115	0.092994
60.8	41.48	51.99	51.42	0.21	0.088	0.464	58.04	-0.008262	0.076923
58.51	59.23	52.76	56.83	0.207	0.058	0.451	58.06	-0.460817	0.055288
55.4	51.8	58.27	55.16	0.291	0.166	0.53	40.76	0.262319	0.115942
55.16	44.84	55.36	51.79	0.274	0.187	0.529	53.45	-0.185487	0.089463
58.0	46.43	52.71	52.38	0.156	-0.081	0.36	57.61	-0.488412	0.054363
54.78	42.61	57.39	51.59	0.193	0.033	0.409	46.54	0.55614	0.070175
49.19	63.82	58.94	57.32	0.193	0.047	0.44	61	0.62	0.053061
56.31	40.29	54.85	50.49	0.185	-0.109	0.357	59.01	-0.778049	0.073171
56.14	45.03	50.88	50.68	0.191	0.058	0.427	59.31	0.690588	0.111765
59.73	46.31	54.03	53.36	0.238	0.115	0.478	48.79	0.152189	0.077441
56.83	49.4	52.76	53.0	0.18	0.008	0.404	61	-0.151202	0.055288
53.92	44.54	52.56	50.34	0.207	0.075	0.447	58.49	0.614701	0.097436
53.09	46.56	49.31	49.66	0.195	0.03	0.425	59.36	-0.20327	0.098107
60.94	54.69	53.12	56.25	0.198	-0.057	0.407	55.94	-0.870866	0.094488
53.23	41.4	56.45	50.36	0.241	0.153	0.506	55.71	-0.607027	0.097297
55.61	40.24	55.37	50.41	0.195	0.039	0.424	57.51	-0.094505	0.100122
55.29	47.88	58.47	53.88	0.273	0.122	0.497	47.73	-0.200796	0.090186
57.11	37.98	51.16	48.75	0.208	0.004	0.409	59.28	-0.001554	0.090674
55.43	40.95	54.86	50.41	0.224	0.064	0.447	56.94	-0.264313	0.101145
55.6	42.74	54.56	50.97	0.222	0.04	0.434	60.52	0.027027	0.079002
56.36	47.47	52.53	52.12	0.176	0.016	0.418	60.82	-0.403441	0.080972
53.33	46.29	52.76	50.79	0.186	0.022	0.417	59.93	-0.187405	0.101145
56.12	43.17	58.27	52.52	0.186	0.089	0.451	55.85	0.657246	0.086957
51.89	45.53	59.19	52.2	0.262	0.118	0.499	53.04	-0.314655	0.09687
51.91	44.68	54.68	50.43	0.192	0.027	0.43	56.39	0.520682	0.130064
57.23	47.0	50.53	51.59	0.211	0.028	0.424	56.83	-0.322118	0.069412
60.93	44.07	51.67	52.22	0.19	-0.035	0.39	56.97	-0.306865	0.087199
58.47	45.24	50.58	51.43	0.199	0.013	0.42	60.86	-0.349303	0.051163
54.67	47.47	54.47	52.2	0.214	0.008	0.421	58.46	-0.179922	0.093567
53.85	33.97	44.87	44.23	0.193	-0.09	0.356	58.14	-0.007742	0.141935
61.24	47.19	54.49	54.31	0.187	-0.106	0.347	58.22	-0.341808	0.050847
55.16	42.98	56.51	51.55	0.244	0.049	0.451	55.69	-0.130678	0.086441
53.26	43.58	56.24	51.02	0.246	0.128	0.488	57.74	0.285074	0.119403
56.83	43.6	52.93	51.12	0.22	0.055	0.45	58.92	-0.599565	0.086957
56.46	46.4	52.7	51.85	0.191	-0.006	0.401	60.39	-0.335338	0.103759
57.16	48.58	51.98	52.57	0.197	0.042	0.437	57.09	-0.482603	0.065765
58.63	41.16	56.83	52.21	0.21	0.043	0.437	60.03	-0.488733	0.066398
57.14	42.86	54.89	51.63	0.221	0.069	0.455	60.61	0.092453	0.067925
55.09	55.47	42.64	51.07	0.206	-0.001	0.429	60.48	-0.370076	0.087121
51.04	54.17	47.92	51.04	0.249	0.157	0.522	52.92	-0.469474	0.136842
48.92	52.52	51.8	51.08	0.263	0.098	0.493	61	0.00942	0.137681
45.93	51.85	52.59	50.12	0.243	0.111	0.504	61	-0.189552	0.097015
53.91	53.91	57.47	55.1	0.241	0.158	0.514	53.53	-0.448485	0.055258
68.93	51.46	51.46	57.28	0.226	0.211	0.515	45.71	0.889216	0.0
56.05	53.55	52.78	54.13	0.21	-0.006	0.426	58.07	-0.784423	0.073077
50.23	44.33	59.15	51.24	0.223	0.084	0.476	56.43	-0.341364	0.072727
54.94	44.14	55.99	51.69	0.193	-0.019	0.404	59.09	-0.357916	0.101583
52.84	48.91	53.28	51.67	0.211	0.117	0.468	51.2	-0.370614	0.078947
53.53	43.98	50.62	49.38	0.254	0.039	0.459	59.45	-0.627917	0.141667
66.96	50.43	56.52	57.97	0.205	0.17	0.491	50.04	1.044737	0.017544
56.07	51.45	56.26	54.59	0.214	0.044	0.446	55.85	-0.442085	0.050193
50.36	51.8	56.83	53.0	0.225	0.02	0.448	59.05	0.09058	0.115942
53.04	42.51	56.91	50.82	0.205	0.073	0.451	57	-0.149941	0.100821
54.62	38.32	52.17	48.37	0.199	0.047	0.424	56.03	-0.008992	0.092643
57.76	44.88	52.81	51.82	0.253	0.132	0.503	59.01	-0.30894	0.102649
51.88	45.42	55.83	51.04	0.161	-0.052	0.373	59.59	0.436952	0.112735
51.58	43.37	62.53	52.49	0.194	0.021	0.419	57.33	0.275105	0.107595
50.3	46.51	58.48	51.76	0.166	-0.026	0.388	57.95	0.4742	0.106
52.22	42.75	53.38	49.45	0.19	0.058	0.432	60.84	0.083139	0.085271
49.13	38.26	53.48	46.96	0.258	0.05	0.457	58.93	-0.346288	0.10917
50.21	39.06	60.09	49.79	0.303	0.142	0.513	54.22	-0.490517	0.107759
56.51	48.57	52.38	52.49	0.166	-0.02	0.389	60.41	0.128981	0.06051
52.92	44.57	58.5	52.0	0.192	0.033	0.417	54.78	0.062291	0.061453
48.25	40.79	62.28	50.44	0.265	0.065	0.472	53.2	-0.374449	0.127753
53.85	45.9	54.87	51.54	0.202	0.118	0.483	54.77	-0.284576	0.100257
53.9	45.71	54.84	51.48	0.251	0.094	0.483	53.65	-0.347753	0.100247
55.05	43.49	56.03	51.52	0.206	0.101	0.461	56.09	0.130669	0.071778
59.4	48.67	53.86	53.98	0.189	-0.005	0.412	59.94	-0.672135	0.066345
49.84	41.27	57.14	49.42	0.201	0.018	0.418	54.36	0.41656	0.11465
55.44	37.73	58.56	50.58	0.233	0.087	0.468	52.97	-0.374739	0.108922
55.93	51.69	65.25	57.63	0.242	0.157	0.496	45.88	0.950427	0.042735
55.93	51.69	66.95	58.19	0.242	0.175	0.504	46.69	0.921368	0.042735
54.05	37.84	64.86	52.25	0.286	0.189	0.529	61	-0.031507	0.09589
58.75	37.95	52.81	49.83	0.223	0.061	0.442	61	-0.547351	0.112583
55.12	43.31	51.97	50.13	0.234	0.005	0.436	55.45	-1.069565	0.043478
57.48	39.0	63.05	53.18	0.279	0.186	0.528	50.61	-0.252353	0.117647
55.37	39.81	59.63	51.6	0.24	0.147	0.501	53.53	-0.189239	0.09833
55.75	53.79	53.3	54.28	0.193	0.025	0.429	58.61	-0.349265	0.10049
56.29	49.06	53.14	52.83	0.208	0.052	0.443	54.93	-0.03123	0.097792
49.76	37.56	57.56	48.29	0.22	0.002	0.424	55.31	-0.358333	0.112745
56.25	42.61	57.39	52.08	0.323	0.262	0.571	56.54	-0.642857	0.074286
59.92	49.03	53.31	54.09	0.203	-0.004	0.416	57.71	-0.798828	0.0625
47.69	57.69	62.31	55.9	0.218	0.075	0.48	46.73	-0.716279	0.069767
46.64	40.64	56.18	47.82	0.182	0.015	0.407	61	0.726596	0.095745
52.63	40.21	54.11	48.98	0.199	0.067	0.442	59.54	-0.05443	0.103376
56.93	39.37	61.48	52.59	0.258	0.114	0.483	52.45	-0.344385	0.101695
48.89	48.4	53.58	50.29	0.2	0.054	0.458	56.9	-0.260644	0.131188
55.01	49.13	54.21	52.78	0.242	0.099	0.483	57.25	-0.129679	0.096257
48.0	45.0	56.0	49.67	0.242	0.106	0.487	61	-0.148241	0.060302
50.94	54.03	59.52	54.83	0.238	0.124	0.495	47.76	-0.500687	0.082474
54.58	47.81	51.0	51.13	0.18	0.009	0.409	60.26	-0.0932	0.092
54.92	44.2	66.3	55.14	0.295	0.2	0.538	40.94	-0.177412	0.100877
56.47	45.43	54.57	52.16	0.208	-0.076	0.382	58.68	-0.68481	0.056962
63.46	40.86	46.51	50.28	0.217	-0.015	0.418	57.86	-1.224	0.036667
55.26	47.37	56.58	53.07	0.203	0.018	0.428	56.54	-0.844371	0.05298
49.65	46.59	55.06	50.43	0.216	0.084	0.471	60.86	-0.150236	0.139151
55.34	48.49	55.07	52.97	0.215	0.064	0.452	60.4	-0.461264	0.093407
50.28	50.84	50.28	50.47	0.22	0.082	0.453	61	-0.02191	0.08427
55.39	48.8	53.59	52.59	0.21	0.023	0.429	58.79	-0.532432	0.078078
52.99	42.95	54.49	50.14	0.167	-0.002	0.395	58.14	-0.121842	0.100642
52.36	45.09	52.36	49.94	0.248	0.087	0.475	58.86	-0.361314	0.124088
57.54	45.23	54.52	52.43	0.195	-0.007	0.411	54.86	-0.211839	0.078086
59.65	44.74	50.0	51.46	0.189	-0.008	0.405	55.09	-0.346593	0.063736
58.01	43.54	53.62	51.72	0.224	0.051	0.445	56.28	-0.275291	0.089263
58.68	45.43	52.37	52.16	0.227	0.093	0.466	60.99	-0.121519	0.101266
62.42	37.58	47.13	49.04	0.315	0.139	0.51	54.13	-0.664744	0.096154
47.01	53.53	58.42	52.99	0.309	0.182	0.538	54.8	-0.090736	0.125341
50.29	53.2	55.23	52.91	0.242	0.077	0.474	53.76	-0.018659	0.122449
52.33	43.19	56.61	50.71	0.23	0.092	0.472	54.29	-0.053216	0.093567
57.14	50.71	50.71	52.86	0.217	-0.083	0.375	53.67	-0.36187	0.021583
56.93	40.72	60.94	52.86	0.245	0.055	0.447	51.36	-0.294175	0.081831
56.14	43.86	53.63	51.21	0.181	-0.001	0.403	55.55	-0.037689	0.075377
57.85	42.39	51.29	50.51	0.204	0.03	0.418	55.37	0.083334	0.089202
58.29	41.71	58.76	52.92	0.236	0.108	0.465	51.88	0.050577	0.080831
56.71	41.44	57.64	51.93	0.211	0.068	0.441	61	0.105336	0.088167
59.15	43.29	51.83	51.42	0.176	-0.034	0.404	59.36	-1.013442	0.044807
61.67	48.33	66.11	58.7	0.361	0.303	0.606	38.26	-0.32067	0.122905
52.17	43.91	54.57	50.22	0.207	0.086	0.453	60.19	0.034205	0.076253
55.81	43.63	54.45	51.3	0.217	0.084	0.454	55.82	0.413205	0.081264
56.62	42.24	51.83	50.23	0.193	0.072	0.439	58.49	-0.024714	0.077803
57.79	45.15	51.92	51.62	0.172	0.034	0.413	59.11	0.075566	0.063348
55.1	39.94	56.47	50.51	0.207	0.118	0.464	60.77	-0.074309	0.074586
52.85	52.85	65.04	56.91	0.271	0.213	0.537	41.33	1.015574	0.04918
52.84	42.58	55.24	50.22	0.203	0.122	0.474	58.59	-0.146608	0.100656
62.39	56.41	44.87	54.56	0.165	-0.041	0.394	55.51	-0.545494	0.060086
58.82	42.1	53.48	51.47	0.224	0.054	0.44	56.49	-0.026383	0.064526
55.11	44.04	56.6	51.91	0.173	0.037	0.416	55.23	0.77548	0.098081
55.17	40.75	57.37	51.1	0.195	0.056	0.427	55.49	0.775157	0.09434
54.77	44.77	50.45	50.0	0.197	0.02	0.412	57.68	-0.041686	0.075171
52.18	45.63	55.68	51.16	0.202	0.038	0.425	59.54	0.013348	0.118162
48.33	49.17	58.33	51.94	0.199	0.023	0.421	61	0.421008	0.134454
60.31	40.99	59.66	53.65	0.244	0.145	0.497	52.47	-0.289351	0.067532
56.67	38.89	49.26	48.27	0.181	-0.055	0.381	54.34	-0.510037	0.085502
59.12	39.91	55.36	51.46	0.196	0.045	0.426	56.17	-0.112161	0.066228
58.02	44.92	51.34	51.43	0.204	0.001	0.414	61	0.001072	0.048257
63.56	38.9	55.62	52.69	0.197	0.015	0.409	57.78	-0.021703	0.087912
