GeneID,Total_Codons,A%,T%,G%,C%
Psal_003367,133,32.33,18.05,21.8,27.82
Psal_003368,165,15.15,29.09,36.97,18.79
Psal_003369,380,18.42,29.47,23.42,28.68
Psal_003370,94,15.96,25.53,14.89,43.62
Psal_003371,121,16.53,22.31,21.49,39.67
Psal_003372,240,17.5,28.75,24.58,29.17
Psal_003373,172,16.86,30.23,23.26,29.65
Psal_003374,138,23.19,33.33,18.84,24.64
Psal_003375,78,32.05,25.64,14.1,28.21
Psal_003376,322,13.35,33.85,18.63,34.16
Psal_003377,477,23.9,29.98,18.03,28.09
Psal_003378,657,22.53,26.94,18.42,32.12
Psal_003379,210,22.86,18.57,23.33,35.24
Psal_003380,119,22.69,28.57,21.85,26.89
Psal_003381,208,19.23,32.21,22.6,25.96
Psal_003382,568,21.65,24.47,22.01,31.87
Psal_003383,271,19.93,26.57,25.46,28.04
Psal_003384,234,15.38,35.47,14.1,35.04
Psal_003385,773,21.99,27.04,24.71,26.26
Psal_003386,373,22.52,29.49,19.3,28.69
Psal_003387,218,23.39,24.31,25.69,26.61
Psal_003388,309,23.62,26.86,23.3,26.21
Psal_003389,258,15.12,29.07,14.34,41.47
Psal_003390,440,13.86,32.27,16.82,37.05
Psal_003391,244,18.03,34.02,22.13,25.82
Psal_003392,221,28.96,24.43,19.46,27.15
Psal_003393,280,16.07,24.29,32.5,27.14
Psal_003394,150,24.67,10.0,9.33,56.0
Psal_003395,636,21.07,24.21,29.56,25.16
Psal_003396,158,15.19,24.68,17.72,42.41
Psal_003397,499,21.04,27.45,20.04,31.46
Psal_003398,635,22.36,28.19,20.79,28.66
Psal_003399,356,21.63,26.4,20.79,31.18
Psal_003400,741,20.38,26.59,20.92,32.12
Psal_003401,177,25.42,26.55,22.6,25.42
Psal_003402,833,22.57,28.45,19.69,29.29
Psal_003403,177,22.6,30.51,21.47,25.42
Psal_003404,731,24.08,24.08,24.08,27.77
Psal_003405,201,24.88,26.87,22.39,25.87
Psal_003406,234,15.81,33.33,11.54,39.32
Psal_003407,384,22.66,27.08,26.3,23.96
Psal_003408,234,17.09,23.93,25.64,33.33
Psal_003409,158,18.35,25.95,23.42,32.28
Psal_003410,284,20.77,29.23,24.3,25.7
Psal_003411,297,24.58,30.3,20.54,24.58
Psal_003412,248,16.13,28.63,34.68,20.56
Psal_003413,588,19.39,27.55,22.28,30.78
Psal_003414,360,22.5,23.33,26.39,27.78
Psal_003415,866,18.48,28.41,23.09,30.02
Psal_003416,799,18.02,31.91,20.03,30.04
Psal_003417,114,21.93,29.82,18.42,29.82
Psal_003418,94,15.96,28.72,22.34,32.98
Psal_003419,98,18.37,31.63,18.37,31.63
Psal_003420,70,15.71,21.43,21.43,41.43
Psal_003421,126,26.98,23.81,15.08,34.13
Psal_003422,602,25.42,33.55,18.94,22.09
Psal_003423,216,14.81,43.06,9.26,32.87
Psal_003424,338,24.56,28.7,20.41,26.33
Psal_003425,865,20.92,25.78,20.81,32.49
Psal_003426,753,23.11,21.91,26.69,28.29
Psal_003427,334,22.75,28.44,17.66,31.14
Psal_003428,115,22.61,29.57,25.22,22.61
Psal_003429,147,19.05,29.93,25.17,25.85
Psal_003430,327,21.71,26.3,19.88,32.11
Psal_003431,164,17.07,35.37,24.39,23.17
Psal_003432,708,23.87,28.81,20.34,26.98
Psal_003433,493,18.66,32.25,16.23,32.86
Psal_003434,395,19.75,33.42,13.92,32.91
Psal_003435,213,23.0,23.94,32.86,20.19
Psal_003436,183,18.58,26.78,26.23,28.42
Psal_003437,183,19.67,26.78,30.05,23.5
Psal_003438,111,31.53,33.33,17.12,18.02
Psal_003439,221,18.1,31.67,16.29,33.94
Psal_003440,95,13.68,31.58,21.05,33.68
Psal_003441,252,23.02,26.98,19.05,30.95
Psal_003442,170,19.41,25.29,28.82,26.47
Psal_003443,305,19.67,26.23,24.59,29.51
Psal_003444,86,23.26,27.91,18.6,30.23
Psal_003445,307,20.52,24.1,21.5,33.88
Psal_003446,286,24.13,22.73,18.88,34.27
Psal_003447,50,16.0,20.0,14.0,50.0
Psal_003448,193,22.8,21.24,27.98,27.98
Psal_003449,298,18.79,30.2,22.15,28.86
Psal_003450,240,18.75,23.75,30.42,27.08
Psal_003451,241,22.82,26.97,25.31,24.9
Psal_003452,161,35.4,21.12,21.12,22.36
Psal_003453,226,21.24,22.57,17.7,38.5
Psal_003454,155,20.65,18.71,23.23,37.42
Psal_003455,99,23.23,25.25,24.24,27.27
Psal_003456,162,22.22,25.31,27.16,25.31
Psal_003457,35,22.86,31.43,25.71,20.0
Psal_003458,373,19.84,30.56,22.52,27.08
Psal_003459,313,19.49,24.92,27.16,28.43
Psal_003460,203,25.62,17.24,35.47,21.67
Psal_003461,461,14.32,22.56,29.93,33.19
Psal_003462,567,21.87,26.98,25.22,25.93
Psal_003463,105,27.62,18.1,23.81,30.48
Psal_003464,279,27.24,23.66,20.07,29.03
Psal_003465,99,11.11,34.34,19.19,35.35
Psal_003466,294,22.11,28.23,20.07,29.59
Psal_003467,323,22.91,29.41,22.6,25.08
Psal_003468,334,20.96,28.14,21.56,29.34
Psal_003469,146,23.29,19.18,36.99,20.55
Psal_003470,592,22.97,32.09,19.43,25.51
Psal_003471,577,14.56,31.02,19.76,34.66
Psal_003472,147,23.81,21.09,23.81,31.29
Psal_003473,158,24.05,27.85,24.05,24.05
Psal_003474,609,16.26,32.68,19.21,31.86
Psal_003475,50,18.0,32.0,16.0,34.0
Psal_003476,288,21.18,22.92,27.43,28.47
Psal_003477,276,22.1,28.99,17.03,31.88
Psal_003478,133,28.57,21.8,27.82,21.8
Psal_003479,230,23.91,23.48,21.3,31.3
Psal_003480,176,21.59,27.27,23.86,27.27
Psal_003481,126,16.67,30.95,22.22,30.16
Psal_003482,190,26.32,26.32,28.42,18.95
Psal_003483,92,15.22,32.61,15.22,36.96
Psal_003484,403,21.59,27.05,24.57,26.8
Psal_003485,67,23.88,29.85,23.88,22.39
Psal_003486,222,23.87,23.87,23.87,28.38
Psal_003487,401,26.93,27.68,18.2,27.18
Psal_003488,569,23.37,31.46,18.28,26.89
Psal_003489,238,18.07,29.41,23.11,29.41
Psal_003490,78,17.95,30.77,29.49,21.79
Psal_003491,76,23.68,21.05,30.26,25.0
Psal_003492,161,18.63,26.71,21.74,32.92
Psal_003493,770,21.82,31.17,19.22,27.79
Psal_003494,397,20.91,19.4,32.24,27.46
Psal_003495,138,24.64,25.36,15.94,34.06
Psal_003496,31,38.71,25.81,19.35,16.13
Psal_003497,178,18.54,30.34,26.97,24.16
Psal_003498,212,21.23,27.36,18.87,32.55
Psal_003499,71,22.54,23.94,14.08,39.44
Psal_003500,337,20.77,25.22,21.66,32.34
Psal_003501,465,25.16,26.67,21.08,27.1
Psal_003502,379,21.11,26.12,23.48,29.29
Psal_003503,347,24.78,26.22,17.29,31.7
Psal_003504,137,16.79,33.58,13.14,36.5
Psal_003505,510,23.92,24.9,27.06,24.12
Psal_003506,196,19.9,30.1,23.98,26.02
Psal_003507,30,20.0,46.67,3.33,30.0
Psal_003508,428,18.93,26.17,23.36,31.54
Psal_003509,579,15.89,34.37,17.79,31.95
Psal_003510,392,22.45,25.77,27.81,23.98
Psal_003511,365,19.18,25.48,24.11,31.23
Psal_003512,336,22.92,30.65,19.05,27.38
Psal_003513,295,19.66,24.07,23.39,32.88
Psal_003514,322,18.32,27.95,22.05,31.68
Psal_003515,225,21.78,24.0,23.11,31.11
Psal_003516,282,19.5,27.3,20.21,32.98
Psal_003517,236,21.61,21.19,23.31,33.9
Psal_003518,456,21.05,32.89,18.42,27.63
Psal_003519,176,13.07,27.27,22.73,36.93
Psal_003520,272,16.54,24.26,20.96,38.24
Psal_003521,584,21.23,27.57,25.34,25.86
Psal_003522,335,20.9,30.45,26.57,22.09
Psal_003523,210,10.48,28.1,28.1,33.33
Psal_003524,361,20.5,21.88,27.42,30.19
Psal_003525,168,20.24,22.02,33.93,23.81
Psal_003526,321,26.79,25.55,18.38,29.28
Psal_003527,536,22.76,30.6,20.34,26.31
Psal_003528,221,18.1,35.29,22.17,24.43
Psal_003529,168,22.02,21.43,22.62,33.93
Psal_003530,149,23.49,25.5,28.86,22.15
Psal_003531,689,21.77,26.12,23.22,28.88
Psal_003532,433,21.48,32.79,19.86,25.87
Psal_003533,197,26.4,26.9,23.35,23.35
Psal_003534,206,20.87,27.67,19.42,32.04
Psal_003535,86,20.93,15.12,29.07,34.88
Psal_003536,67,28.36,20.9,17.91,32.84
Psal_003537,174,25.86,27.59,23.56,22.99
Psal_003538,276,18.48,25.72,21.38,34.42
Psal_003539,253,20.16,28.06,18.18,33.6
Psal_003540,362,25.97,27.62,27.9,18.51
Psal_003541,450,20.44,23.78,26.0,29.78
Psal_003542,137,16.79,26.28,8.03,48.91
Psal_003543,741,21.73,28.07,20.51,29.69
Psal_003544,139,27.34,15.83,22.3,34.53
Psal_003545,107,27.1,24.3,16.82,31.78
Psal_003546,65,12.31,49.23,7.69,30.77
Psal_003547,380,17.63,30.79,21.58,30.0
Psal_003548,392,20.66,26.02,20.66,32.65
Psal_003549,236,22.03,26.69,19.92,31.36
Psal_003550,153,18.95,25.49,35.29,20.26
Psal_003551,196,14.8,20.92,29.59,34.69
Psal_003552,164,21.34,20.12,21.34,37.2
Psal_003553,75,16.0,32.0,26.67,25.33
Psal_003554,332,18.67,28.31,31.02,21.99
Psal_003555,225,20.0,27.11,16.0,36.89
Psal_003556,253,20.95,28.85,19.76,30.43
Psal_003557,347,23.63,26.51,20.46,29.39
Psal_003558,90,15.56,22.22,35.56,26.67
Psal_003559,293,20.14,25.94,23.89,30.03
Psal_003560,288,20.14,28.47,19.79,31.6
Psal_003561,323,22.29,27.55,25.7,24.46
Psal_003562,230,20.0,27.83,23.91,28.26
Psal_003563,158,22.15,18.99,18.99,39.87
Psal_003565,301,20.93,22.59,25.91,30.56
Psal_003566,555,24.32,27.93,20.0,27.75
Psal_003567,269,22.3,21.93,24.91,30.86
Psal_003568,271,18.08,24.72,21.77,35.42
Psal_003569,430,20.93,25.81,20.47,32.79
Psal_003570,229,20.96,27.07,20.52,31.44
Psal_003571,199,24.62,24.62,19.1,31.66
Psal_003572,713,21.88,27.21,21.74,29.17
Psal_003573,237,28.69,23.63,21.52,26.16
Psal_003574,413,21.79,30.27,22.52,25.42
Psal_003575,707,20.79,31.97,20.51,26.73
Psal_003576,441,24.26,24.72,23.58,27.44
Psal_003577,132,19.7,23.48,28.03,28.79
Psal_003578,1048,21.28,24.33,24.43,29.96
Psal_003579,208,28.85,25.96,15.38,29.81
Psal_003580,292,10.62,30.48,9.59,49.32
Psal_003582,826,18.28,30.39,22.03,29.3
Psal_003583,173,17.92,39.31,12.14,30.64
Psal_003584,678,24.48,26.84,18.88,29.79
Psal_003585,89,17.98,23.6,19.1,39.33
Psal_003586,70,28.57,24.29,25.71,21.43
Psal_003587,191,23.04,20.94,26.7,29.32
Psal_003588,242,23.14,25.21,24.79,26.86
Psal_003589,395,20.51,23.29,29.62,26.58
Psal_003590,320,7.81,29.38,9.69,53.12
Psal_003591,44,25.0,31.82,20.45,22.73
Psal_003592,195,20.51,22.05,28.21,29.23
Psal_003593,327,27.22,22.02,23.85,26.91
Psal_003594,113,23.01,28.32,20.35,28.32
Psal_003595,143,21.68,24.48,23.08,30.77
Psal_003596,504,26.39,28.57,19.05,25.99
Psal_003597,231,24.24,25.54,22.51,27.71
Psal_003598,531,20.72,26.74,25.05,27.5
Psal_003599,147,23.81,34.01,20.41,21.77
Psal_003600,790,17.85,32.91,18.35,30.89
Psal_003601,511,22.11,24.85,26.42,26.61
Psal_003602,100,20.0,23.0,28.0,29.0
Psal_003603,231,22.08,21.65,32.03,24.24
Psal_003604,138,12.32,34.78,15.94,36.96
Psal_003605,336,18.75,30.06,16.67,34.52
Psal_003606,650,22.77,27.54,17.69,32.0
Psal_003607,395,20.76,24.56,23.29,31.39
Psal_003608,57,28.07,22.81,26.32,22.81
Psal_003609,949,23.6,25.18,26.87,24.34
Psal_003610,127,20.47,22.05,38.58,18.9
Psal_003611,477,22.64,24.74,32.29,20.34
Psal_003612,708,20.9,27.26,31.21,20.62
Psal_003613,37,35.14,18.92,24.32,21.62
Psal_003614,154,25.97,20.78,26.62,26.62
Psal_003615,200,20.5,31.0,25.0,23.5
Psal_003616,289,23.88,25.95,21.45,28.72
Psal_003617,269,24.91,36.06,14.5,24.54
Psal_003618,379,18.73,23.48,30.34,27.44
Psal_003619,205,24.39,25.37,9.76,40.49
Psal_003620,128,21.09,14.06,47.66,17.19
Psal_003621,450,5.33,37.56,7.33,49.78
Psal_003622,228,21.49,27.63,26.32,24.56
Psal_003623,71,11.27,33.8,25.35,29.58
Psal_003624,73,24.66,30.14,19.18,26.03
Psal_003625,197,25.89,26.9,18.27,28.93
Psal_003626,834,24.94,29.86,21.46,23.74
Psal_003627,133,18.05,33.08,15.79,33.08
Psal_003628,359,23.68,28.41,21.17,26.74
Psal_003629,156,14.1,28.21,14.74,42.95
Psal_003630,523,18.93,30.4,19.31,31.36
Psal_003631,297,24.58,29.29,23.23,22.9
Psal_003632,217,19.82,24.88,29.95,25.35
Psal_003633,231,26.41,21.21,23.38,29.0
Psal_003634,268,16.42,30.97,16.42,36.19
Psal_003635,759,22.92,27.4,19.76,29.91
Psal_003636,642,20.4,27.57,20.87,31.15
Psal_003637,250,28.4,22.0,24.8,24.8
Psal_003638,134,22.39,28.36,23.13,26.12
Psal_003639,144,23.61,22.22,25.69,28.47
Psal_003640,243,21.4,23.05,20.58,34.98
Psal_003641,426,23.71,23.71,20.89,31.69
Psal_003642,65,4.62,43.08,7.69,44.62
Psal_003643,163,19.02,27.61,26.38,26.99
Psal_003644,360,21.67,25.56,21.39,31.39
Psal_003645,220,21.82,30.45,23.64,24.09
Psal_003646,298,23.15,23.49,22.82,30.54
Psal_003647,359,22.28,29.81,19.5,28.41
Psal_003648,115,26.09,25.22,22.61,26.09
Psal_003649,61,24.59,22.95,29.51,22.95
Psal_003650,272,15.44,28.31,14.71,41.54
Psal_003651,106,19.81,28.3,19.81,32.08
Psal_003652,193,24.35,22.28,22.28,31.09
Psal_003653,827,20.44,25.63,33.13,20.8
Psal_003654,299,26.42,25.42,27.09,21.07
Psal_003655,461,14.75,28.2,19.74,37.31
Psal_003656,236,28.39,19.07,13.56,38.98
Psal_003657,321,19.63,24.92,19.94,35.51
Psal_003658,323,16.1,24.46,36.53,22.91
Psal_003659,563,18.47,25.58,28.95,27.0
Psal_003660,190,10.0,29.47,13.68,46.84
Psal_003661,203,25.12,22.66,20.2,32.02
Psal_003662,182,28.02,21.98,20.88,29.12
Psal_003663,173,22.54,21.39,28.9,27.17
Psal_003664,207,20.29,20.77,23.19,35.75
Psal_003665,115,20.87,28.7,22.61,27.83
Psal_003667,325,19.69,36.31,19.38,24.62
Psal_003668,882,22.56,30.16,20.63,26.64
Psal_003669,404,21.29,25.5,23.76,29.46
Psal_003670,43,39.53,11.63,18.6,30.23
Psal_003671,613,18.76,30.02,23.82,27.41
Psal_003672,178,26.97,25.28,17.42,30.34
Psal_003673,49,22.45,28.57,26.53,22.45
Psal_003674,571,21.54,22.77,25.22,30.47
Psal_003675,237,19.41,21.94,22.78,35.86
Psal_003676,83,18.07,27.71,15.66,38.55
Psal_003677,196,19.9,23.98,28.06,28.06
Psal_003678,135,29.63,20.74,22.96,26.67
Psal_003679,50,30.0,14.0,28.0,28.0
Psal_003680,385,24.68,32.47,18.96,23.9
Psal_003681,232,24.14,31.03,17.67,27.16
Psal_003682,159,23.9,27.04,20.75,28.3
Psal_003683,866,23.09,29.91,19.75,27.25
Psal_003684,445,21.8,28.99,19.1,30.11
Psal_003685,748,18.98,26.6,24.33,30.08
Psal_003686,244,22.13,34.43,14.75,28.69
Psal_003687,68,26.47,17.65,30.88,25.0
Psal_003688,225,20.89,25.78,17.78,35.56
Psal_003689,221,28.51,27.6,17.65,26.24
Psal_003690,174,14.94,29.89,16.67,38.51
Psal_003691,308,18.51,25.97,19.16,36.36
Psal_003692,313,21.41,24.92,21.41,32.27
Psal_003693,602,19.77,30.56,22.59,27.08
Psal_003694,271,21.03,29.52,24.72,24.72
Psal_003695,1030,20.58,29.03,21.36,29.03
Psal_003696,135,27.41,25.19,11.85,35.56
Psal_003697,511,20.94,27.01,25.64,26.42
Psal_003699,227,21.15,18.5,25.55,34.8
Psal_003700,152,21.05,19.74,23.03,36.18
Psal_003701,1382,20.91,29.74,21.92,27.42
Psal_003702,227,17.18,29.07,25.11,28.63
Psal_003703,108,24.07,26.85,28.7,20.37
Psal_003704,172,19.19,29.65,25.0,26.16
Psal_003705,372,20.7,28.76,22.85,27.69
Psal_003706,155,23.23,23.87,27.1,25.81
Psal_003707,114,21.05,31.58,23.68,23.68
Psal_003708,54,16.67,25.93,24.07,33.33
Psal_003709,52,23.08,32.69,23.08,21.15
Psal_003710,106,31.13,16.04,19.81,33.02
Psal_003711,200,17.0,32.0,23.5,27.5
Psal_003712,61,31.15,16.39,27.87,24.59
Psal_003713,380,18.42,28.42,24.74,28.42
Psal_003714,712,20.65,24.86,26.69,27.81
Psal_003715,698,17.19,30.66,25.36,26.79
Psal_003716,417,22.06,25.18,29.98,22.78
Psal_003717,265,21.89,29.06,29.43,19.62
Psal_003718,257,28.4,19.84,24.51,27.24
Psal_003719,172,18.02,26.16,19.19,36.63
Psal_003720,202,23.76,30.69,18.32,27.23
Psal_003721,311,20.58,29.26,19.94,30.23
Psal_003722,156,25.64,25.64,19.23,29.49
Psal_003723,723,21.72,31.95,23.1,23.24
Psal_003724,124,21.77,28.23,26.61,23.39
Psal_003725,477,24.11,23.06,24.53,28.3
Psal_003726,380,25.0,31.32,17.63,26.05
Psal_003727,129,21.71,31.01,15.5,31.78
Psal_003728,416,20.67,20.19,26.44,32.69
Psal_003729,345,22.9,32.75,14.49,29.86
Psal_003730,550,24.55,29.09,15.82,30.55
Psal_003731,165,21.21,28.48,22.42,27.88
Psal_003732,211,15.17,33.65,16.59,34.6
Psal_003733,700,19.86,26.86,24.86,28.43
Psal_003734,53,15.09,24.53,22.64,37.74
Psal_003735,533,18.57,26.83,25.7,28.89
Psal_003736,279,6.81,36.92,7.53,48.75
Psal_003737,322,19.57,29.5,28.26,22.67
Psal_003738,175,19.43,14.29,32.57,33.71
Psal_003739,194,28.87,26.8,22.16,22.16
Psal_003740,36,30.56,13.89,13.89,41.67
Psal_003741,250,22.8,27.2,26.4,23.6
Psal_003742,261,24.14,24.14,24.9,26.82
Psal_003743,76,22.37,17.11,27.63,32.89
Psal_003744,104,25.96,21.15,33.65,19.23
Psal_003745,214,21.5,27.1,26.17,25.23
Psal_003746,84,30.95,22.62,20.24,26.19
Psal_003747,182,24.18,25.27,26.37,24.18
Psal_003748,1048,21.56,27.39,23.95,27.1
Psal_003749,154,23.38,33.12,18.83,24.68
Psal_003750,831,7.34,36.7,16.13,39.83
Psal_003751,459,21.35,26.8,22.44,29.41
Psal_003752,188,22.87,40.96,13.83,22.34
Psal_003753,45,22.22,17.78,17.78,42.22
Psal_003754,56,26.79,25.0,30.36,17.86
Psal_003755,230,23.04,29.13,17.39,30.43
Psal_003756,779,23.23,27.34,23.49,25.93
Psal_003757,255,14.9,23.92,25.49,35.69
Psal_003758,96,26.04,20.83,27.08,26.04
Psal_003759,70,18.57,18.57,34.29,28.57
Psal_003760,327,19.88,34.25,19.57,26.3
Psal_003761,685,23.21,36.06,17.52,23.21
Psal_003762,226,17.26,25.66,24.34,32.74
Psal_003763,176,24.43,19.32,22.16,34.09
Psal_003764,539,20.04,34.69,15.03,30.24
Psal_003765,330,19.39,25.76,29.09,25.76
Psal_003766,143,16.78,34.97,20.28,27.97
Psal_003767,235,22.13,25.96,25.96,25.96
Psal_003768,234,22.22,25.21,21.79,30.77
Psal_003769,684,23.68,26.61,18.13,31.58
Psal_003770,612,25.33,26.47,23.37,24.84
Psal_003771,244,24.59,25.41,21.72,28.28
Psal_003772,314,19.75,25.48,22.61,32.17
Psal_003773,117,24.79,25.64,22.22,27.35
Psal_003774,78,14.1,29.49,29.49,26.92
Psal_003775,312,16.67,27.56,24.36,31.41
Psal_003776,102,18.63,23.53,17.65,40.2
Psal_003777,218,20.18,30.28,20.18,29.36
Psal_003778,397,22.67,25.44,23.43,28.46
Psal_003779,51,25.49,17.65,35.29,21.57
Psal_003780,191,19.9,18.32,32.98,28.8
Psal_003781,84,21.43,26.19,21.43,30.95
Psal_003782,252,24.6,25.79,21.83,27.78
Psal_003783,161,19.25,20.5,26.09,34.16
Psal_003784,270,18.89,29.26,22.96,28.89
Psal_003785,107,26.17,17.76,26.17,29.91
Psal_003786,96,27.08,19.79,27.08,26.04
Psal_003787,153,19.61,24.18,21.57,34.64
Psal_003788,44,15.91,31.82,20.45,31.82
Psal_003789,325,22.15,24.62,27.69,25.54
Psal_003790,233,17.17,29.18,27.04,26.61
Psal_003791,160,19.38,25.62,20.62,34.38
Psal_003792,230,21.3,20.87,23.48,34.35
Psal_003793,282,23.4,27.66,20.57,28.37
Psal_003794,125,23.2,19.2,28.0,29.6
Psal_003795,180,11.11,30.0,16.67,42.22
Psal_003796,500,22.4,23.8,23.2,30.6
Psal_003797,348,20.69,30.46,22.13,26.72
Psal_003798,335,22.09,27.76,18.21,31.94
Psal_003799,186,17.74,31.18,20.97,30.11
Psal_003800,168,21.43,27.38,17.86,33.33
Psal_003801,223,22.42,21.08,24.22,32.29
Psal_003802,320,18.12,27.19,25.62,29.06
Psal_003803,519,22.35,33.14,20.81,23.7
Psal_003804,318,25.47,28.3,22.01,24.21
Psal_003805,480,19.38,29.58,23.54,27.5
Psal_003806,205,21.95,27.32,24.88,25.85
Psal_003807,216,29.63,24.07,16.67,29.63
Psal_003808,220,24.55,19.09,26.36,30.0
Psal_003809,840,13.21,33.1,18.1,35.6
Psal_003810,281,25.27,26.33,25.62,22.78
Psal_003812,429,15.85,31.7,17.02,35.43
Psal_003813,381,25.72,30.18,20.21,23.88
Psal_003814,200,29.0,23.5,17.0,30.5
Psal_003815,571,22.24,24.17,26.62,26.97
Psal_003816,557,20.47,24.96,25.67,28.9
Psal_003817,311,27.65,18.33,27.33,26.69
Psal_003818,315,21.9,30.79,20.0,27.3
Psal_003819,225,19.11,34.22,23.56,23.11
Psal_003820,140,25.0,21.43,25.0,28.57
Psal_003821,238,23.11,26.05,24.37,26.47
Psal_003822,1193,23.22,32.36,19.45,24.98
Psal_003823,174,21.26,20.69,27.01,31.03
Psal_003824,165,25.45,21.82,26.06,26.67
Psal_003825,289,21.45,26.99,15.92,35.64
Psal_003826,294,23.13,23.81,25.51,27.55
Psal_003827,293,18.43,20.82,32.08,28.67
Psal_003828,317,21.14,24.29,24.29,30.28
Psal_003829,294,18.71,26.87,23.47,30.95
Psal_003830,89,14.61,32.58,29.21,23.6
Psal_003831,341,26.98,17.89,28.74,26.39
Psal_003833,209,24.88,23.44,24.88,26.79
Psal_003834,157,16.56,31.21,15.29,36.94
Psal_003835,147,19.05,31.29,13.61,36.05
Psal_003836,177,18.64,33.33,15.82,32.2
Psal_003837,204,22.55,27.94,20.59,28.92
Psal_003838,125,24.0,22.4,25.6,28.0
Psal_003839,389,25.45,24.16,25.45,24.94
Psal_003841,183,15.85,28.96,9.84,45.36
Psal_003843,409,17.85,27.38,22.49,32.27
Psal_003844,141,25.53,25.53,24.11,24.82
Psal_003845,89,22.47,37.08,17.98,22.47
Psal_003846,927,21.79,25.35,21.25,31.61
Psal_003847,216,25.93,19.44,23.15,31.48
Psal_003848,253,19.37,31.62,18.97,30.04
Psal_003849,944,19.49,28.6,24.79,27.12
Psal_003850,852,19.95,27.46,21.24,31.34
Psal_003851,68,22.06,23.53,23.53,30.88
Psal_003853,163,4.29,38.04,7.36,50.31
Psal_003854,537,17.88,26.82,24.95,30.35
Psal_003855,53,16.98,22.64,35.85,24.53
Psal_003856,156,10.26,30.13,26.92,32.69
Psal_003857,248,7.26,36.29,10.89,45.56
Psal_003858,364,22.53,27.2,20.33,29.95
Psal_003859,498,24.3,29.12,19.28,27.31
Psal_003860,197,14.72,31.98,18.78,34.52
Psal_003861,220,18.64,30.0,20.45,30.91
Psal_003862,188,16.49,35.64,22.87,25.0
Psal_003863,189,21.16,38.1,8.47,32.28
Psal_003864,190,14.74,36.84,14.21,34.21
Psal_003865,280,18.93,25.0,26.07,30.0
Psal_003866,274,17.52,24.82,25.18,32.48
Psal_003867,124,20.16,24.19,28.23,27.42
Psal_003868,37,29.73,32.43,21.62,16.22
Psal_003869,289,28.03,23.53,24.57,23.88
Psal_003870,205,12.68,32.2,26.34,28.78
Psal_003871,455,22.64,22.42,27.25,27.69
Psal_003873,185,20.54,29.19,28.11,22.16
Psal_003874,168,4.76,32.74,8.93,53.57
Psal_003875,93,30.11,19.35,19.35,31.18
Psal_003876,396,21.21,28.28,22.73,27.78
Psal_003877,458,23.36,26.86,22.71,27.07
Psal_003878,182,13.19,22.53,35.71,28.57
Psal_003879,40,15.0,35.0,30.0,20.0
Psal_003880,135,20.74,22.96,18.52,37.78
Psal_003881,299,19.4,27.76,23.08,29.77
Psal_003882,244,20.9,25.0,19.26,34.84
Psal_003883,54,20.37,33.33,20.37,25.93
Psal_003884,799,21.65,24.66,24.28,29.41
Psal_003885,154,15.58,33.12,9.74,41.56
Psal_003886,73,27.4,21.92,26.03,24.66
Psal_003887,302,12.25,20.2,24.5,43.05
Psal_003888,899,21.69,32.59,22.47,23.25
Psal_003889,50,10.0,30.0,8.0,52.0
Psal_003890,54,20.37,18.52,16.67,44.44
Psal_003891,177,20.9,25.42,23.16,30.51
Psal_003892,824,14.81,30.95,25.0,29.25
Psal_003893,74,22.97,32.43,18.92,25.68
Psal_003894,202,22.77,28.71,18.81,29.7
Psal_003895,173,15.03,31.79,23.7,29.48
Psal_003896,340,23.82,22.35,22.06,31.76
Psal_003897,322,20.81,31.99,22.36,24.84
Psal_003898,218,20.64,30.73,26.15,22.48
Psal_003899,88,20.45,28.41,28.41,22.73
Psal_003900,51,37.25,37.25,9.8,15.69
Psal_003901,70,15.71,34.29,10.0,40.0
Psal_003902,85,27.06,36.47,15.29,21.18
Psal_003903,253,26.48,25.3,26.09,22.13
Psal_003904,242,22.73,28.93,16.94,31.4
Psal_003905,249,16.06,31.33,25.3,27.31
Psal_003906,154,19.48,24.03,30.52,25.97
Psal_003907,443,16.25,31.15,13.32,39.28
Psal_003908,84,10.71,29.76,11.9,47.62
Psal_003909,112,9.82,41.96,10.71,37.5
Psal_003910,236,18.22,28.39,18.22,35.17
Psal_003911,138,23.91,25.36,27.54,23.19
Psal_003912,136,27.21,23.53,24.26,25.0
Psal_003913,34,5.88,29.41,0.0,64.71
Psal_003914,241,23.24,27.39,24.48,24.9
Psal_003915,75,30.67,10.67,38.67,20.0
Psal_003916,48,20.83,29.17,18.75,31.25
Psal_003917,159,21.38,21.38,28.93,28.3
Psal_003918,108,16.67,21.3,25.0,37.04
Psal_003919,42,7.14,33.33,11.9,47.62
Psal_003920,105,17.14,22.86,23.81,36.19
Psal_003921,108,14.81,21.3,32.41,31.48
Psal_003922,156,17.31,25.64,27.56,29.49
Psal_003923,178,12.92,34.83,13.48,38.76
Psal_003924,236,15.68,34.75,11.44,38.14
Psal_003925,319,25.39,24.45,26.65,23.51
Psal_003926,123,15.45,27.64,16.26,40.65
Psal_003927,206,21.84,18.93,33.98,25.24
Psal_003928,163,22.09,20.25,26.38,31.29
Psal_003929,518,24.13,26.83,24.13,24.9
Psal_003930,376,16.76,27.66,18.35,37.23
Psal_003931,490,19.39,30.41,25.1,25.1
Psal_003932,381,20.73,25.98,28.35,24.93
Psal_003933,105,25.71,22.86,19.05,32.38
Psal_003934,47,29.79,12.77,21.28,36.17
